date,time,sport,channel,comp,ht,at
2025-06-13,11:30PM,Am. Football,RDS,CFL,Ottawa Redblacks,Montreal Alouettes
2025-06-13,11:30PM,Am. Football,TSN 1,CFL,Ottawa Redblacks,Montreal Alouettes
2025-06-13,11:30PM,Am. Football,TSN 5,CFL,Ottawa Redblacks,Montreal Alouettes
2025-06-14,11:00PM,Am. Football,TSN 1,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,11:00PM,Am. Football,TSN 3,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,11:00PM,Am. Football,CBS Sports Network USA,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,11:00PM,Am. Football,CTV Calgary,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,11:00PM,Am. Football,CTV Edmonton,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,11:00PM,Am. Football,CTV Halifax,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,11:00PM,Am. Football,CTV Kitchener,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,11:00PM,Am. Football,CTV Montreal,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,11:00PM,Am. Football,CTV Ottawa,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,11:00PM,Am. Football,CTV Toronto,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,11:00PM,Am. Football,CTV Vancouver,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,11:00PM,Am. Football,CTV Winnipeg,CFL,Hamilton Tiger-Cats,Saskatchewan Roughriders
2025-06-14,8:00PM,Am. Football,TSN 1,CFL,Toronto Argonauts,Calgary Stampeders
2025-06-14,8:00PM,Am. Football,CBS Sports Network USA,CFL,Toronto Argonauts,Calgary Stampeders
2025-06-14,3:00PM,Am. Football,DAZN Croatia,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Czechia,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Greece,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Serbia,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Slovenia,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Turkey,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Belgium,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Australia,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Austria,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Brasil,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Canada,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Germany,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Poland,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN Switzerland,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,3:00PM,Am. Football,DAZN US,European League of Football,Cologne Centurions,Wrocław Panthers
2025-06-14,4:00PM,Am. Football,DAZN Croatia,European League of Football,Rhein Fire,Hamburg Sea Devils
2025-06-14,4:00PM,Am. Football,DAZN Czechia,European League of Football,Rhein Fire,Hamburg Sea Devils
2025-06-14,4:00PM,Am. Football,DAZN Greece,European League of Football,Rhein Fire,Hamburg Sea Devils
2025-06-14,4:00PM,Am. Football,DAZN Slovenia,European League of Football,Rhein Fire,Hamburg Sea Devils
2025-06-14,4:00PM,Am. Football,DAZN Turkey,European League of Football,Rhein Fire,Hamburg Sea Devils
2025-06-14,4:00PM,Am. Football,DAZN Belgium,European League of Football,Rhein Fire,Hamburg Sea Devils
