date,time,sport,teams,comp,channel
15 Jun,6:00PM,Motorsport,Formula 1 Racing,Canadian Grand Prix,abc
17 Jun,12:30AM,Basketball,Oklahoma City Thunder - Indiana Pacers,NBA,abc
15 Jun,4:00PM,Golf,US Open - Golf 125th U.S. Open: Final Round,125th US Open: Final Round,afn-sports
15 Jun,4:00PM,Golf,US Open - Golf 125th U.S. Open: Final Round,125th US Open: Final Round,afn-sports
15 Jun,11:00PM,Baseball,Los Angeles Dodgers - San Francisco Giants,MLB,afn-sports
17 Jun,12:30AM,Basketball,Oklahoma City Thunder - Indiana Pacers,NBA,afn-sports
18 Jun,12:00AM,Ice Hockey,Florida Panthers - Edmonton Oilers,NHL,afn-sports
18 Jun,3:00PM,Baseball,MLB on TBS: San Diego Padres @ Los Angeles Dodgers,San Diego Padres @ Los Angeles Dodgers,afn-sports
19 Jun,2:00AM,Baseball,Los Angeles Dodgers - San Diego Padres,MLB,afn-sports
15 Jun,4:00PM,Basketball,Connecticut Sun W - Chicago Sky W,WNBA,afn-sports-2
15 Jun,7:00PM,Motorsport,"NASCAR Cup Series: Viva Mexico 250 (Mexico City, Mexico)","Viva Mexico 250 (Mexico City, Mexico)",afn-sports-2
16 Jun,12:00AM,Motorsport,IndyCar: Bommarito Automotive Group 500,Bommarito Automotive Group 500,afn-sports-2
17 Jun,2:00AM,Baseball,Oakland Athletics - Houston Astros,MLB,afn-sports-2
17 Jun,4:00PM,WWE,WWE Raw,WWE Raw,afn-sports-2
17 Jun,11:00PM,Basketball,Indiana Fever W - Connecticut Sun W,WNBA,afn-sports-2
18 Jun,2:00AM,Basketball,Los Angeles Sparks W - Seattle Storm W,WNBA,afn-sports-2
18 Jun,8:00PM,Baseball,Seattle Mariners - Boston Red Sox,MLB,afn-sports-2
18 Jun,8:00PM,Baseball,Seattle Mariners - Boston Red Sox,MLB,afn-sports-2
18 Jun,11:00PM,Basketball,Connecticut Sun W - Phoenix Mercury W,WNBA,afn-sports-2
19 Jun,1:30AM,Baseball,San Francisco Giants - Cleveland Guardians,MLB,afn-sports-2
19 Jun,5:00PM,Baseball,New York Yankees - Los Angeles Angels,MLB,afn-sports-2
19 Jun,8:00PM,Baseball,San Francisco Giants - Cleveland Guardians,MLB,afn-sports-2
17 Jun,11:05PM,Baseball,New York Yankees - Los Angeles Angels,MLB,amazon-prime-us
21 Jun,12:00AM,Football,Kansas City NWSL W - Angel City W,NWSL Women,amazon-prime-us
